"","step","type","amount","nameOrig","oldbalanceOrg","newbalanceOrig","nameDest","oldbalanceDest","newbalanceDest","isFraud","isFlaggedFraud"
"5020688",353,"CASH_IN",308285.65,"C8996681",1786,310071.65,"C160959787",0,0,0,0
"2663849",210,"CASH_OUT",284527.06,"C205886037",0,0,"C1271671343",644264.27,928791.32,0,0
"1949131",177,"TRANSFER",621477.44,"C1990196704",5770,0,"C569701621",202240.53,823717.97,0,0
"807947",40,"PAYMENT",7578.81,"C1826579415",38217.97,30639.16,"M208913422",0,0,0,0
"2140252",184,"CASH_IN",46262.94,"C143325981",671517.4,717780.34,"C939094365",64021.3,17758.36,0,0
"6360011",715,"PAYMENT",11549.69,"C1811533859",13631,2081.31,"M1406585455",0,0,0,0
"354233",17,"CASH_OUT",271961.16,"C1990362812",152290,0,"C1571381927",136724.07,408685.23,0,0
"4730657",332,"CASH_OUT",197878.1,"C228097524",579,0,"C757199716",296080.44,493958.54,0,0
"4857180",348,"CASH_OUT",266594.32,"C940792352",143597,0,"C1341458169",94903.72,361498.04,0,0
"2011973",180,"PAYMENT",17294.75,"C1949376172",32337,15042.25,"M2065888019",0,0,0,0
"5732478",399,"PAYMENT",14885.17,"C1310145485",82778,67892.83,"M930950166",0,0,0,0
"6145995",546,"CASH_IN",448376.58,"C639832616",997741.9,1446118.48,"C247474128",551516.5,103139.92,0,0
"1641614",157,"CASH_OUT",443443.75,"C421507430",274868,0,"C1284831468",469867.91,913311.66,0,0
"917974",43,"PAYMENT",6097.31,"C1551805401",0,0,"M424015805",0,0,0,0
"5156221",357,"PAYMENT",5877.29,"C264236846",41112,35234.71,"M2091389036",0,0,0,0
"5862932",403,"PAYMENT",8854.2,"C1049527310",55242,46387.8,"M635654600",0,0,0,0
"5701088",398,"CASH_IN",139345.8,"C1500183215",6109607.68,6248953.48,"C1517013836",410979.94,271634.14,0,0
"4024383",299,"PAYMENT",26546.32,"C1247241701",119789,93242.68,"M297998342",0,0,0,0
"5238846",371,"CASH_OUT",378895.04,"C1758694657",31595,0,"C2125644323",97907.8,498046.86,0,0
"1615220",156,"CASH_OUT",120174.76,"C1769153918",0,0,"C1310969316",290960,411134.76,0,0
"2393375",201,"PAYMENT",7495.16,"C1267517711",0,0,"M1153371920",0,0,0,0
"5771154",400,"CASH_OUT",14455.31,"C269017587",0,0,"C654091517",128980.09,143435.41,0,0
"2767955",213,"TRANSFER",756100.31,"C76530126",0,0,"C2011640234",1016703.21,1772803.51,0,0
"3728528",278,"CASH_OUT",287419.72,"C1302383647",30025,0,"C2144956763",0,287419.72,0,0
"3555768",260,"CASH_OUT",132572.26,"C1250510128",0,0,"C748997881",3483900.05,3616472.31,0,0
"3419195",256,"PAYMENT",7376.64,"C2106612522",43410.98,36034.34,"M84304399",0,0,0,0
"1060193",119,"CASH_IN",8386.46,"C1922380701",2107250.54,2115636.99,"C423436431",5856818.61,5848432.15,0,0
"2001932",179,"PAYMENT",8681.4,"C1220558606",30115,21433.6,"M934118184",0,0,0,0
"2553981",206,"CASH_IN",102399.86,"C1928891928",11499,113898.86,"C328472799",323640.29,221240.44,0,0
"2768022",213,"CASH_OUT",55648.92,"C419850061",11539,0,"C1033986448",0,55648.92,0,0
"6354334",709,"PAYMENT",4755.19,"C724801970",505,0,"M230172660",0,0,0,0
"2976025",231,"CASH_IN",229747.73,"C1526253805",4274,234021.73,"C839298509",0,0,0,0
"1325019",137,"CASH_OUT",262827.47,"C2140865865",25695,0,"C2130635815",30100.88,292928.35,0,0
"4031533",299,"PAYMENT",12606.14,"C1539678260",0,0,"M745148597",0,0,0,0
"115786",11,"CASH_OUT",63709.89,"C1641902975",0,0,"C1244762702",741184.79,804894.68,0,0
"636501",35,"CASH_IN",299487.06,"C2078253562",20022207.57,20321694.63,"C717057347",1060407.6,760920.54,0,0
"2188722",185,"TRANSFER",459332.95,"C232075456",14538,0,"C914134228",190385.58,649718.53,0,0
"5754924",399,"CASH_OUT",419525.61,"C2105368022",0,0,"C675097986",641564.44,1061090.05,0,0
"4713882",332,"CASH_OUT",170096.56,"C122236810",10840,0,"C1000692331",364451.21,534547.77,0,0
"5730872",399,"CASH_OUT",44263.96,"C61079812",23145,0,"C141460994",355091.16,399355.12,0,0
"3507476",259,"TRANSFER",214560.77,"C1179689378",0,0,"C962145668",4585511.86,4800072.63,0,0
"5106249",355,"CASH_OUT",67049.82,"C97432245",441577,374527.18,"C1860096559",275610.36,342660.18,0,0
"1768842",162,"TRANSFER",333517.84,"C1115114280",0,0,"C1995468846",1034291,1367808.84,0,0
"4048928",300,"CASH_IN",214991.36,"C790701306",49628,264619.36,"C267141460",4295612.59,4080621.22,0,0
"4223197",306,"CASH_IN",247749.6,"C262930604",633196,880945.6,"C1014763449",0,0,0,0
"5736499",399,"PAYMENT",30936.53,"C1412045510",0,0,"M1080665494",0,0,0,0
"4314131",308,"TRANSFER",560703.72,"C1913435729",0,0,"C778359400",792091.19,1352794.91,0,0
"5565009",393,"CASH_OUT",248217.59,"C312532983",20527,0,"C1441710765",226466.78,474684.37,0,0
"684967",36,"CASH_OUT",365067.54,"C961041750",30863,0,"C912535903",1838160.58,2203228.12,0,0
"1948170",177,"PAYMENT",9454.77,"C1194480545",3117,0,"M919297615",0,0,0,0
"200135",13,"PAYMENT",19070.96,"C72283113",0,0,"M703982332",0,0,0,0
"5000843",353,"CASH_IN",374553.89,"C19133259",6573936.21,6948490.1,"C261277573",831235.67,456681.78,0,0
"2690320",211,"CASH_OUT",271124.09,"C156546799",0,0,"C661381580",392195.29,663319.38,0,0
"2158164",184,"CASH_OUT",64511.36,"C1227511655",239411.17,174899.82,"C1843901548",410879.06,475390.42,0,0
"2619002",208,"CASH_OUT",172087.72,"C333657146",22729,0,"C127902148",0,172087.72,0,0
"580716",33,"PAYMENT",828.69,"C1102336442",223095,222266.31,"M277425115",0,0,0,0
"3350043",253,"PAYMENT",6496.04,"C280724816",0,0,"M1204590483",0,0,0,0
"2353410",189,"CASH_OUT",22912.34,"C593385668",9076,0,"C1951851228",395524.16,418436.51,0,0
"5385189",376,"PAYMENT",19500.71,"C1389079424",0,0,"M431016862",0,0,0,0
"1704976",160,"CASH_IN",436793.08,"C1706927066",409636.67,846429.75,"C129488389",1143725.33,706932.25,0,0
"1056962",96,"CASH_IN",318651.06,"C2144584431",9339400.47,9658051.53,"C1094551049",772447.39,453796.33,0,0
"5686747",397,"TRANSFER",569400.25,"C872131829",0,0,"C1845437474",1243586.55,1812986.8,0,0
"1712042",160,"TRANSFER",138921.36,"C175641940",15614,0,"C1312736521",671407.07,810328.43,0,0
"1758788",161,"PAYMENT",3407.23,"C753796039",0,0,"M1041521398",0,0,0,0
"2955451",230,"PAYMENT",25037.51,"C210748512",0,0,"M2087697578",0,0,0,0
"1313126",136,"CASH_IN",112739.79,"C376977116",206607.78,319347.56,"C1864173934",165133.71,52393.92,0,0
"917117",43,"PAYMENT",8959.58,"C90846253",6347.74,0,"M1611561892",0,0,0,0
"5094076",355,"CASH_IN",41202.88,"C1718368606",33965,75167.88,"C1051602208",0,0,0,0
"650047",35,"CASH_OUT",306267.27,"C122028274",0,0,"C546074432",3094828.05,3401095.32,0,0
"950418",44,"PAYMENT",7744.27,"C1331103146",231,0,"M39107641",0,0,0,0
"2525460",205,"PAYMENT",21418.23,"C421408056",0,0,"M841831299",0,0,0,0
"4392922",321,"PAYMENT",16777.99,"C633967879",11489,0,"M1304081160",0,0,0,0
"5621124",395,"CASH_OUT",451429.91,"C357717181",49624,0,"C405271523",2654152.82,3105582.73,0,0
